system   D            wsystem.c:583  maybe_parent_dir                 [   0.00063] Also searching C:\Users\NEGU\Documents\ForbiddenDesert\TPFinal\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14804] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14805] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14807] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14808] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14809] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14811] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.14812] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.14814] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.14816] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.14818] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.14857] added dtor for object 0094ED70, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.15363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.15368] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15805] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15807] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15809] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15810] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15812] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15813] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15814] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15816] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.15817] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.15819] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.15820] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.15822] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.15823] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15857] added dtor for object 0468AF78, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.16645] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.16648] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20200] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20203] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20204] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20206] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20207] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20208] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20210] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20211] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20212] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.20214] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.20215] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.20217] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.20218] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.20253] added dtor for object 0453E848, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.21044] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.21048] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22123] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22126] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22129] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22130] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22132] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22133] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22135] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22136] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22139] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.22141] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.22143] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.22145] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.22146] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22182] added dtor for object 0454D698, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.23123] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.23129] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23788] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23791] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23793] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23795] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23796] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23798] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23799] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23800] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.23802] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.23803] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.23805] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.23807] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.23809] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23844] added dtor for object 046E6F00, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27512] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27516] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29066] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29069] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29070] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29072] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29073] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29075] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29076] Fake format
